iter	RMSE
0	135886.1621
1	130709.0423
2	125941.3445
3	121463.8727
4	117464.0034
5	113805.3447
6	110499.9461
7	107313.2194
8	104604.0917
9	102031.4848
10	99689.26836
11	97450.5191
12	95388.44235
13	93593.46904
14	91817.17641
15	90321.25303
16	88802.8657
17	87436.04042
18	86281.61984
19	85162.38483
20	84149.16905
21	83184.53399
22	82217.35699
23	81357.05773
24	80580.94278
25	79901.41421
26	79214.20585
27	78507.79128
28	77929.08801
29	77388.16814
30	76918.45958
31	76469.04466
32	76058.32445
33	75667.77744
34	75371.20371
35	75014.52587
36	74709.28338
37	74417.86683
38	74107.8529
39	73854.97225
40	73613.55903
41	73365.09008
42	73122.09882
43	72894.82162
44	72679.5195
45	72513.66704
46	72321.80491
47	72174.09464
48	72013.5157
49	71871.53086
50	71727.09076
51	71609.27538
52	71481.94129
53	71350.06245
54	71241.43789
55	71096.14745
56	70974.14548
57	70849.35452
58	70722.65227
59	70607.81695
60	70512.20243
61	70431.0163
62	70337.48647
63	70265.50741
64	70167.0928
65	70044.97678
66	69976.74727
67	69920.22532
68	69841.66808
69	69778.56749
70	69695.17142
71	69597.36751
72	69532.44295
73	69484.40279
74	69421.3091
75	69350.6427
76	69264.0932
77	69202.38972
78	69173.18947
79	69117.5282
80	69067.89892
81	69003.3765
82	68943.67057
83	68887.54384
84	68822.5194
85	68779.50679
86	68707.05024
87	68637.01791
88	68576.18873
89	68520.52794
90	68475.79477
91	68443.03991
92	68392.42159
93	68351.23036
94	68292.90091
95	68230.91476
96	68208.04422
97	68174.19652
98	68142.47771
99	68073.22065
100	68015.70385
101	67966.33402
102	67926.67343
103	67888.53984
104	67844.20971
105	67800.70918
106	67760.05924
107	67727.60939
108	67679.42752
109	67635.19489
110	67607.30726
111	67562.04418
112	67517.48116
113	67483.79337
114	67434.92621
115	67408.29202
116	67361.77087
117	67324.15141
118	67273.34144
119	67221.73575
120	67186.57537
121	67127.16121
122	67070.10231
123	67027.84475
124	67000.87971
125	66959.51731
126	66883.12331
