iter	Passed	Remaining
0	4	4585
1	10	5304
2	18	6219
3	23	5958
4	29	5888
5	35	5810
6	39	5539
7	48	6017
8	56	6259
9	69	6901
10	77	6992
11	85	7080
12	90	6847
13	107	7553
14	121	7999
15	124	7661
16	128	7411
17	139	7626
18	143	7417
19	158	7770
20	168	7862
21	177	7899
22	190	8082
23	195	7948
24	209	8187
25	225	8456
26	231	8342
27	234	8155
28	257	8635
29	266	8612
30	275	8598
31	281	8505
32	287	8429
33	290	8267
34	296	8172
35	305	8184
36	309	8044
37	313	7945
38	321	7922
39	324	7793
40	337	7903
41	343	7841
42	351	7822
43	358	7784
44	365	7753
45	369	7656
46	373	7582
47	377	7494
48	382	7423
49	388	7384
50	398	7421
51	417	7604
52	426	7619
53	437	7656
54	446	7674
55	451	7617
56	460	7621
57	470	7635
58	478	7639
59	482	7553
60	489	7528
61	495	7498
62	498	7418
63	511	7481
64	516	7434
65	537	7612
66	549	7655
67	555	7613
68	569	7680
69	585	7772
70	598	7826
71	602	7769
72	605	7694
73	613	7673
74	619	7636
75	623	7580
76	636	7631
77	640	7574
78	657	7670
79	661	7607
80	664	7542
81	679	7603
82	693	7667
83	697	7606
84	700	7539
85	711	7564
86	715	7513
87	725	7519
88	731	7483
89	740	7486
90	744	7440
91	749	7401
92	754	7362
93	760	7330
94	763	7277
95	769	7249
96	773	7200
97	781	7192
98	787	7169
99	794	7149
100	800	7124
101	808	7113
102	819	7138
103	827	7125
104	830	7077
105	833	7033
106	855	7139
107	858	7093
108	873	7140
109	879	7113
110	893	7159
111	899	7135
112	914	7178
113	923	7179
114	933	7180
115	938	7149
116	943	7122
117	952	7120
118	966	7155
119	970	7114
120	973	7073
121	988	7113
122	994	7090
123	998	7054
124	1004	7029
125	1020	7079
126	1023	7038
127	1030	7018
128	1040	7023
129	1043	6983
130	1056	7009
131	1059	6969
132	1063	6930
133	1073	6940
134	1076	6900
135	1080	6866
136	1089	6862
137	1092	6823
138	1096	6789
139	1109	6812
140	1112	6779
141	1125	6798
142	1129	6768
143	1135	6750
144	1139	6716
145	1142	6683
146	1147	6661
147	1151	6627
148	1158	6618
149	1165	6603
150	1181	6642
151	1188	6629
152	1201	6648
153	1214	6671
154	1217	6636
155	1222	6613
156	1232	6616
157	1236	6589
158	1251	6622
159	1255	6588
160	1271	6627
161	1275	6596
162	1291	6630
163	1294	6600
164	1310	6631
165	1313	6600
166	1318	6578
167	1335	6611
168	1351	6647
169	1356	6622
170	1371	6648
171	1374	6616
172	1377	6586
173	1384	6572
174	1391	6558
175	1394	6528
176	1409	6553
177	1412	6522
178	1420	6517
179	1434	6535
180	1450	6563
181	1466	6590
182	1472	6572
183	1481	6570
184	1489	6563
185	1498	6558
186	1502	6532
187	1507	6510
188	1511	6487
189	1517	6469
190	1520	6440
191	1527	6428
192	1531	6403
193	1534	6373
194	1542	6368
195	1549	6355
196	1553	6331
197	1557	6308
198	1561	6284
199	1565	6261
200	1570	6242
201	1577	6231
202	1583	6215
203	1586	6192
204	1591	6171
205	1594	6146
206	1600	6130
207	1612	6140
208	1629	6168
209	1650	6208
210	1665	6226
211	1670	6210
212	1686	6229
213	1689	6205
214	1693	6184
215	1705	6191
